model,case_id,exact_match,score,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-26b-256:latest,pass4.query1,False,0.0,same_count_wrong_values,0.75,True,8,8,4,4
gemma4-26b-256:latest,pass4.query2,False,0.0,row_count_mismatch,0.13333333333333333,False,5,3,1,3
gemma4-26b-256:latest,pass4.query3,False,0.0,row_count_mismatch,0.3888888888888889,False,3,2,1,2
gemma4-26b-256:latest,pass4.query4,False,0.0,row_count_mismatch,0.125,False,2,1,1,2
gemma4-26b-256:latest,pass4.query5,False,0.0,same_count_wrong_values,0.7,True,5,5,4,4
gemma4-26b-256:latest,pass4.query6,False,0.0,same_count_wrong_values,0.45,True,5,5,5,5
gemma4-26b-256:latest,pass4.query7,False,0.0,row_count_mismatch,0.2222222222222222,False,5,6,6,5
gemma4-26b-256:latest,pass4.query8,False,0.0,row_count_mismatch,0.2,False,7,4,4,7
gemma4-26b-64:latest,pass4.query1,False,0.0,same_count_wrong_values,0.8125,True,8,8,3,3
gemma4-26b-64:latest,pass4.query2,False,0.0,row_count_mismatch,0.13333333333333333,False,5,3,1,3
gemma4-26b-64:latest,pass4.query3,False,0.0,row_count_mismatch,0.3888888888888889,False,3,2,1,2
gemma4-26b-64:latest,pass4.query4,False,0.0,row_count_mismatch,0.08333333333333333,False,3,1,1,3
gemma4-26b-64:latest,pass4.query5,False,0.0,same_count_wrong_values,0.3333333333333333,True,5,5,4,4
gemma4-26b-64:latest,pass4.query6,False,0.0,same_count_wrong_values,0.45,True,5,5,5,5
gemma4-26b-64:latest,pass4.query7,False,0.0,row_count_mismatch,0.2222222222222222,False,5,6,6,5
gemma4-26b-64:latest,pass4.query8,False,0.0,row_count_mismatch,0.28888888888888886,False,6,4,4,6
gemma4-31b-256:latest,pass4.query1,False,0.0,same_count_wrong_values,0.8125,True,8,8,3,3
gemma4-31b-256:latest,pass4.query2,False,0.0,row_count_mismatch,0.125,False,4,3,1,2
gemma4-31b-256:latest,pass4.query3,False,0.0,row_count_mismatch,0.3888888888888889,False,3,2,2,3
