model,display_model,attempts,exact_attempts,exact_attempt_rate,exact_query_coverage_any,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,row_count_mismatch_rate,mean_wall_s,mean_gen_tps,exact,order_only,type_only,same_count_wrong_values,row_count_mismatch,column_error,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,30,12,0.4,4,4,0,6,0.9202222222222222,0.7911111111111111,0.9833333333333334,0.8618518518518519,0.85,0.1,48.82953815530248,2.744030836377507,12,0,0,15,3,0,same_count_wrong_values
gemma4-26b-sqlbench:latest,Gemma 4 26B,30,6,0.2,2,2,0,8,0.7889563492063493,0.5814656084656085,0.8628968253968254,0.7642592592592593,0.6411507936507936,0.36666666666666664,10.707397692331385,11.82051666433022,6,3,0,10,11,0,row_count_mismatch
qwen3.6-sqlbench:latest,Qwen3.6,30,6,0.2,2,2,0,8,0.7308611111111111,0.6019907407407408,0.8108333333333333,0.6972222222222222,0.5813888888888888,0.5,39.697762747231174,6.9884615951467195,6,0,0,9,15,0,row_count_mismatch
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,30,3,0.1,1,1,0,9,0.7808333333333333,0.6213888888888889,0.8677777777777778,0.7483333333333333,0.6122222222222222,0.3333333333333333,95.31169782573609,1.6645782411493655,3,0,0,17,10,0,same_count_wrong_values
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,30,3,0.1,1,1,0,9,0.6333888888888889,0.492962962962963,0.7433333333333333,0.5842592592592593,0.43222222222222223,0.6,50.512895520963745,3.154575195711466,3,0,0,9,18,0,row_count_mismatch
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,30,2,0.06666666666666667,1,0,1,9,0.7006349206349206,0.5448192239858907,0.8063492063492064,0.5881481481481481,0.6050793650793651,0.4,60.469979558266154,2.62119670102689,2,0,0,16,12,0,same_count_wrong_values
llama3-70b-sqlbench:latest,Llama 3 70B,30,0,0.0,0,0,0,10,0.6538030303030303,0.4111307519640853,0.7550505050505051,0.6394444444444445,0.4222222222222222,0.7333333333333333,79.15819802823147,1.9227740739812655,0,0,0,8,22,0,row_count_mismatch
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,30,0,0.0,0,0,0,10,0.5981111111111111,0.524,0.7066666666666667,0.5411111111111111,0.4122222222222222,0.6,15.451465057905686,10.398123973636334,0,0,0,12,18,0,row_count_mismatch
command-r-plus-sqlbench:latest,Command R+,30,0,0.0,0,0,0,10,0.5923888888888889,0.5491728395061729,0.6777777777777778,0.5216666666666667,0.485,0.5666666666666667,236.7376561222947,0.6672211726988901,0,0,0,13,17,0,row_count_mismatch
phi4-mini-sqlbench:latest,Phi-4 Mini,30,0,0.0,0,0,0,10,0.529386585149743,0.34013930870948417,0.6630006835269993,0.3735185185185185,0.4291534391534392,0.7666666666666667,5.357654904600349,84.89956216088922,0,0,0,7,23,0,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,30,0,0.0,0,0,0,10,0.5066349206349207,0.35819047619047617,0.6336507936507937,0.39296296296296296,0.3596031746031746,0.8333333333333334,63.19959170950363,2.924036122281043,0,0,0,5,25,0,row_count_mismatch
dbrx-sqlbench:latest,DBRX,30,0,0.0,0,0,0,10,0.4407042448292448,0.3388102541521659,0.5739339826839827,0.30425925925925923,0.31229737854737855,0.7333333333333333,58.11328018503555,3.001791525931418,0,0,0,8,20,2,row_count_mismatch
codellama-70b-sqlbench:latest,CodeLlama 70B,30,0,0.0,0,0,0,10,0.41505555555555557,0.3713853615520282,0.5605555555555556,0.21611111111111111,0.3497222222222222,0.7333333333333333,91.0330681979986,1.9586554011955133,0,0,0,8,22,0,row_count_mismatch
