case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
pass2.query1,Q1,Four-table inner join,q1_kept_call6,Kept call_id 6 / V5 even though the complete four-table inner join should remove it.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query1,Q1,Four-table inner join,q1_kept_call8,Kept call_id 8 / S999 even though the sample dimension is missing.,30,0.7692307692307693,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
pass2.query1,Q1,Four-table inner join,q1_kept_call9,Kept call_id 9 / V999 even though the variant/gene chain is incomplete.,28,0.717948717948718,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
pass2.query2,Q2,Full snowflake left join,q2_wrong_gene_mapping,Mapped matched variants to the wrong gene symbol or dropped a valid gene symbol.,21,0.5384615384615384,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query2,Q2,Full snowflake left join,q2_bad_sample_nulls,Filled sample attributes for S999 instead of leaving dimension fields null.,14,0.358974358974359,"CodeLlama 70B, Llama 3 70B, Mixtral 8x22B, Phi-4 Mini"
pass2.query2,Q2,Full snowflake left join,q2_bad_chain_nulls,Failed to leave gene_symbol null for incomplete V5/V999 chain rows.,6,0.15384615384615385,"CodeLlama 70B, DeepSeek Coder 33B, Mixtral 8x22B"
pass2.query3,Q3,Variant full outer join,q3_missing_v999,Dropped the fact-only V999 row from the full outer join.,16,0.41025641025641024,"CodeLlama 70B, Command R+, DBRX, Llama 3 70B"
pass2.query3,Q3,Variant full outer join,q3_bad_coalesced_key,Failed to preserve the coalesced variant_id key for fact-only or matched rows.,14,0.358974358974359,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Llama 3 70B"
pass2.query3,Q3,Variant full outer join,q3_missing_v6,Dropped the variant-only V6 row from the full outer join.,12,0.3076923076923077,"DBRX, Llama 3 70B, Mixtral 8x22B, Phi-4 Mini"
pass2.query4,Q4,Condition-impact aggregate,q4_avg_wrong,Computed one or more condition-impact average qualities from the wrong row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query4,Q4,Condition-impact aggregate,q4_wrong_group_set,Returned the wrong condition-impact group set.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query4,Q4,Condition-impact aggregate,q4_control_high_wrong,"Miscomputed the control/high bucket, especially the two-call count and average.",30,0.7692307692307693,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query5,Q5,Gene VAF aggregate,q5_wrong_vaf,Computed average VAF from the wrong numerator/denominator or row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query5,Q5,Gene VAF aggregate,q5_wrong_max_qual,Computed max_qual from the wrong rows.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query5,Q5,Gene VAF aggregate,q5_leaked_unmatched_gene,Included incomplete-chain or non-gold genes such as NDHT/PGR1B.,24,0.6153846153846154,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass2.query6,Q6,Tissue complete-chain aggregate,q6_wrong_distinct_genes,Computed distinct gene counts from the wrong join grain.,32,0.8205128205128205,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query6,Q6,Tissue complete-chain aggregate,q6_wrong_expr_average,Computed avg_expr_ndhb over samples instead of complete-chain joined calls.,28,0.717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query6,Q6,Tissue complete-chain aggregate,q6_included_root,Included root/S5 even though complete inner joins should remove it.,23,0.5897435897435898,"CodeLlama 70B, Command R+, DBRX, Gemma 4 26B"
pass2.query7,Q7,Sample high-impact screen,q7_missed_zero_alt_high,Missed the zero-alt high-impact call for S4.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query7,Q7,Sample high-impact screen,q7_wrong_alt_average,Averaged alt_reads over the wrong subset of rows.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query7,Q7,Sample high-impact screen,q7_counted_non_high,"Counted non-high or incomplete rows as high-impact calls, often inflating S3.",25,0.6410256410256411,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
pass2.query8,Q8,Gene read-quality aggregate,q8_wrong_avg_qual,Computed avg_qual from the wrong row set.,33,0.8461538461538461,"CodeLlama 70B, DeepSeek Coder 33B, Gemma 4 26B, Gemma 4 31B"
pass2.query8,Q8,Gene read-quality aggregate,q8_wrong_alt_total,Computed total_alt_reads from the wrong row set.,26,0.6666666666666666,"CodeLlama 70B, DeepSeek Coder 33B, Gemma 4 26B, Mixtral 8x22B"
pass2.query8,Q8,Gene read-quality aggregate,q8_leaked_unmatched_gene,Included incomplete-chain genes that should not appear.,18,0.46153846153846156,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query9,Q9,Pathway decision summary,q9_wrong_counts,Miscomputed call_count or distinct_samples.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query9,Q9,Pathway decision summary,q9_wrong_vaf,Computed mean VAF from the wrong row set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query9,Q9,Pathway decision summary,q9_wrong_group_set,Returned the wrong condition-pathway group set.,33,0.8461538461538461,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query10,Q10,Sample coverage screen,q10_wrong_chain_counts,Misclassified complete vs incomplete chain calls.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass2.query10,Q10,Sample coverage screen,q10_wrong_total_calls,Miscomputed total fact calls per sample.,17,0.4358974358974359,"CodeLlama 70B, Llama 3 70B, Mixtral 8x22B, Phi-4 Mini"
pass2.query10,Q10,Sample coverage screen,q10_missing_s5,Dropped zero-call sample S5 from the sample-preserving coverage screen.,11,0.28205128205128205,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
