model,display_model,group,group_reason,audit_score,analytical_score,exact_attempts,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score
gemma4-31b-sqlbench:latest,Gemma 4 31B,Only exact converter,"Only model group with any exact pass-4 conversion, limited to the repairability audit.",0.6541666666666667,0.6627857142857143,3,1,0,9,0.6602
gemma4-26b-sqlbench:latest,Gemma 4 26B,Higher partial-credit operators,"No exact conversions, but stronger partial credit on reconciliation, burden, and expression-mapping tasks.",0.6041666666666666,0.5392800453514739,0,0,0,10,0.5587460317460318
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,Higher partial-credit operators,"No exact conversions, but stronger partial credit on reconciliation, burden, and expression-mapping tasks.",0.6291666666666667,0.5130396825396826,0,0,0,10,0.5478777777777778
qwen3.6-sqlbench:latest,Qwen3.6,Higher partial-credit operators,"No exact conversions, but stronger partial credit on reconciliation, burden, and expression-mapping tasks.",0.6166666666666667,0.5090861678004536,0,0,0,10,0.5413603174603174
codellama-70b-sqlbench:latest,CodeLlama 70B,Middle partial-credit operators,"Some row-set recovery, but presentation, orphan-key, and expression calculations remained unstable.",0.6166666666666667,0.4693832199546485,0,0,0,10,0.513568253968254
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,Middle partial-credit operators,"Some row-set recovery, but presentation, orphan-key, and expression calculations remained unstable.",0.6083333333333334,0.468015873015873,0,0,0,10,0.5101111111111111
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,Middle partial-credit operators,"Some row-set recovery, but presentation, orphan-key, and expression calculations remained unstable.",0.6166666666666667,0.46179251700680274,0,0,0,10,0.5082547619047619
llama3-70b-sqlbench:latest,Llama 3 70B,Middle partial-credit operators,"Some row-set recovery, but presentation, orphan-key, and expression calculations remained unstable.",0.6291666666666667,0.450921768707483,0,0,0,10,0.5043952380952381
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,Middle partial-credit operators,"Some row-set recovery, but presentation, orphan-key, and expression calculations remained unstable.",0.6125,0.4543367346938776,0,0,0,10,0.5017857142857143
command-r-plus-sqlbench:latest,Command R+,Middle partial-credit operators,"Some row-set recovery, but presentation, orphan-key, and expression calculations remained unstable.",0.625,0.4475612244897959,0,0,0,10,0.5007928571428572
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,Middle partial-credit operators,"Some row-set recovery, but presentation, orphan-key, and expression calculations remained unstable.",0.6041666666666666,0.44969274376417234,0,0,0,10,0.49603492063492066
dbrx-sqlbench:latest,DBRX,Brittle / low-coverage,Low exactness and low partial credit across most extra-hard Python tasks.,0.5916666666666667,0.42209977324263037,0,0,0,10,0.47296984126984126
phi4-mini-sqlbench:latest,Phi-4 Mini,Brittle / low-coverage,Low exactness and low partial credit across most extra-hard Python tasks.,0.5547839506172839,0.3301530612244898,0,0,0,10,0.39754232804232803
