model,display_model,family,mean_score,mean_exact_rate
codellama-70b-sqlbench:latest,CodeLlama 70B,aggregation_numeric,0.23333333333333334,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,audit_reconciliation,0.8500000000000001,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,decision_support,0.5098611111111111,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,expression_mapping,0.47600000000000003,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,orphan_key_audit,0.0,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,presentation_table,0.5369047619047619,0.0
codellama-70b-sqlbench:latest,CodeLlama 70B,repairability_review,1.0,0.0
command-r-plus-sqlbench:latest,Command R+,aggregation_numeric,0.29166666666666663,0.0
command-r-plus-sqlbench:latest,Command R+,audit_reconciliation,0.875,0.0
command-r-plus-sqlbench:latest,Command R+,decision_support,0.46881944444444446,0.0
command-r-plus-sqlbench:latest,Command R+,expression_mapping,0.464,0.0
command-r-plus-sqlbench:latest,Command R+,orphan_key_audit,0.0,0.0
command-r-plus-sqlbench:latest,Command R+,presentation_table,0.501984126984127,0.0
command-r-plus-sqlbench:latest,Command R+,repairability_review,1.0,0.0
dbrx-sqlbench:latest,DBRX,aggregation_numeric,0.26111111111111107,0.0
dbrx-sqlbench:latest,DBRX,audit_reconciliation,0.7749999999999999,0.0
dbrx-sqlbench:latest,DBRX,decision_support,0.33569444444444446,0.0
dbrx-sqlbench:latest,DBRX,expression_mapping,0.752,0.0
dbrx-sqlbench:latest,DBRX,orphan_key_audit,0.0,0.0
dbrx-sqlbench:latest,DBRX,presentation_table,0.5988095238095238,0.0
dbrx-sqlbench:latest,DBRX,repairability_review,1.0,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,aggregation_numeric,0.7055555555555556,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,audit_reconciliation,0.8375,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,decision_support,0.4134027777777778,0.0
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,expression_mapping,0.6533333333333334,0.0
