model,display_model,attempts,exact_attempts,exact_attempt_rate,exact_query_coverage_any,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,row_count_mismatch_rate,mean_wall_s,mean_gen_tps,exact,order_only,type_only,same_count_wrong_values,row_count_mismatch,column_error,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,30,3,0.1,1,1,0,9,0.6602,0.5134325396825397,0.7488095238095238,0.6756666666666666,0.5654761904761905,0.4666666666666667,93.9949696152345,2.8216247726598365,3,0,0,13,14,0,row_count_mismatch
gemma4-26b-sqlbench:latest,Gemma 4 26B,30,0,0.0,0,0,0,10,0.5587460317460318,0.36637566137566135,0.6951984126984126,0.5211507936507936,0.4240079365079365,0.5,18.71333424663074,11.423880976305,0,0,0,15,15,0,same_count_wrong_values
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,30,0,0.0,0,0,0,10,0.5478777777777778,0.3225198412698413,0.6436507936507937,0.577952380952381,0.41333333333333333,0.6,20.267713388736592,10.8777157718534,0,0,0,12,18,0,row_count_mismatch
qwen3.6-sqlbench:latest,Qwen3.6,30,0,0.0,0,0,0,10,0.5413603174603174,0.3587037037037037,0.6344444444444445,0.5615714285714286,0.42833333333333334,0.6,47.441263374870566,7.0415867190581665,0,0,0,12,18,0,row_count_mismatch
codellama-70b-sqlbench:latest,CodeLlama 70B,30,0,0.0,0,0,0,10,0.513568253968254,0.3507962962962963,0.6188888888888889,0.4848571428571429,0.44333333333333336,0.6333333333333333,88.0479492945645,2.0124861726098398,0,0,0,11,19,0,row_count_mismatch
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,30,0,0.0,0,0,0,10,0.5101111111111111,0.2835687830687831,0.6174603174603175,0.5284126984126984,0.36428571428571427,0.6333333333333333,75.91177295429807,2.3481439878914534,0,0,0,11,19,0,row_count_mismatch
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,30,0,0.0,0,0,0,10,0.5082547619047619,0.3902777777777778,0.6066666666666667,0.49196031746031743,0.43666666666666665,0.5333333333333333,57.53033007576887,3.1214613209643427,0,0,0,14,16,0,row_count_mismatch
llama3-70b-sqlbench:latest,Llama 3 70B,30,0,0.0,0,0,0,10,0.5043952380952381,0.27393518518518517,0.645,0.4574285714285714,0.37333333333333335,0.5333333333333333,85.68430518253396,1.9205630946391348,0,0,0,14,16,0,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,30,0,0.0,0,0,0,10,0.5017857142857143,0.3790277777777778,0.6394444444444445,0.3987301587301587,0.4622222222222222,0.5333333333333333,69.86452235533216,2.9456464922546575,0,0,0,14,16,0,row_count_mismatch
command-r-plus-sqlbench:latest,Command R+,30,0,0.0,0,0,0,10,0.5007928571428572,0.3346296296296296,0.6238888888888889,0.44542063492063494,0.4261111111111111,0.6333333333333333,205.41198599159833,0.8725958748933383,0,0,0,11,19,0,row_count_mismatch
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,30,0,0.0,0,0,0,10,0.49603492063492066,0.32463888888888887,0.6222222222222222,0.4541904761904762,0.3933333333333333,0.8,123.96336147976594,1.6531850483515538,0,0,0,6,24,0,row_count_mismatch
dbrx-sqlbench:latest,DBRX,30,0,0.0,0,0,0,10,0.47296984126984126,0.2516111111111111,0.605,0.4674920634920635,0.3011111111111111,0.4666666666666667,84.58950745909824,2.0618397386257517,0,0,0,16,14,0,same_count_wrong_values
phi4-mini-sqlbench:latest,Phi-4 Mini,30,0,0.0,0,0,0,10,0.39754232804232803,0.2848478835978836,0.5092328042328043,0.3085185185185185,0.40185185185185185,0.4666666666666667,4.8630326045686765,86.4780786240059,0,0,0,16,14,0,same_count_wrong_values
