case_id,query,short_name,prompt,primary_failure_family,exact_attempts,exact_attempt_rate,exact_models_any,exact_models_stable,mean_score,mean_aligned_cell_accuracy,row_count_mismatch_attempts,same_count_wrong_attempts,order_only_attempts,type_only_attempts,column_error_attempts,dominant_failure_mode
pass4.query1,Q1,Reconciliation metrics,"Using pandas, create a reconciliation summary with exactly these metrics:
- fact_rows_total
- complete_chain_rows
- fact_rows_missing_sample
- fact_rows_missing_variant
- fact_rows_missing_gene
- unused_samples
- unused_variants
- genes_with_no_variants
Return: metric, value
Preserve this exact row order.",audit_reconciliation,0,0.0,0,0,0.8490384615384615,0.7483974358974359,0,39,0,0,0,same_count_wrong_values
pass4.query2,Q2,Condition-pathway aggregate,"Using pandas and complete-chain matched rows only, group by condition and pathway.
Compute:
- call_count
- total_alt_reads
- mean_qual
- avg_expr_ndhb
Return: condition, pathway, call_count, total_alt_reads, mean_qual, avg_expr_ndhb
Sort by condition ascending, then total_alt_reads descending, then pathway ascending.
Round decimal outputs to 3 decimals.",aggregation_numeric,0,0.0,0,0,0.40023504273504273,0.21876780626780626,30,9,0,0,0,row_count_mismatch
pass4.query3,Q3,Batch-role non-reference summary,"Using pandas and complete-chain non-reference rows only where genotype <> '0/0', group by batch and gene_role.
Compute:
- non_reference_calls
- avg_qual
- max_vaf
- mean_expr_pgr5
Return: batch, gene_role, non_reference_calls, avg_qual, max_vaf, mean_expr_pgr5
Sort by batch ascending, then gene_role ascending.
Round decimal outputs to 3 decimals.",decision_support,0,0.0,0,0,0.3078418803418803,0.2263024013024013,34,5,0,0,0,row_count_mismatch
pass4.query4,Q4,Control/non-control shared genes,"Using pandas and complete-chain matched rows only, find genes observed in both:
- control
- at least one non-control condition
Return:
- gene_symbol
- control_calls
- non_control_calls
- total_alt_reads
Sort by total_alt_reads descending, then gene_symbol ascending.",decision_support,0,0.0,0,0,0.38623931623931623,0.23846153846153845,39,0,0,0,0,row_count_mismatch
pass4.query5,Q5,Gene-preserving profile,"Using pandas, start from gene_dim and left join to variant_dim, then fact_calls, then sample_dim.
Return one row per gene with:
- gene_symbol
- variant_count
- call_count
- distinct_matched_sample_count
- distinct_tissue_count
- avg_matched_expression
For distinct_matched_sample_count, count only sample_dim matches and exclude orphan fact sample keys.
For avg_matched_expression, use the matched expression mapping from the instructions and average across matched sample-call rows only.
Sort by gene_symbol ascending.
Round avg_matched_expression to 3 decimals.",expression_mapping,0,0.0,0,0,0.6411794871794873,0.33931623931623933,24,15,0,0,0,row_count_mismatch
pass4.query6,Q6,Sample burden table,"Using pandas, compute sample-level burden.
Use complete-chain matched rows only, filter to non-reference calls where genotype <> '0/0' and impact IN ('high', 'moderate').
For each sample in sample_dim, compute:
- burden_genes = count of distinct genes meeting that rule
- mean_log2_marker_expr = mean(log2(expr_ndhb+1), log2(expr_pgr5+1), log2(expr_ndhk+1))
Return: sample_id, tissue, burden_genes, mean_log2_marker_expr
Include samples with zero burden.
Sort by burden_genes descending, then sample_id ascending.
Round mean_log2_marker_expr to 3 decimals.",decision_support,0,0.0,0,0,0.6487179487179487,0.4846153846153846,13,26,0,0,0,same_count_wrong_values
pass4.query7,Q7,Orphan-key report,"Using pandas, build a single orphan-key report using concat/union-style logic.
Return: source_table, key_value, orphan_type
Include:
- fact_calls.sample_id values missing in sample_dim
- fact_calls.variant_id values missing in variant_dim
- variant_dim.gene_id values missing in gene_dim
- sample_dim.sample_id rows unused by fact_calls
- variant_dim.variant_id rows unused by fact_calls
- gene_dim.gene_id rows with no variants attached
Sort by source_table ascending, then key_value ascending.",orphan_key_audit,0,0.0,0,0,0.0,0.1482905982905983,23,16,0,0,0,row_count_mismatch
pass4.query8,Q8,Final presentation table,"Using pandas, produce a final presentation table for all non-reference complete-chain calls only.
Filter to genotype <> '0/0'.
Return these columns in this exact order:
call_id, plant_line_id, tissue, condition, gene_symbol, pathway, variant_id, impact, genotype, alt_reads, total_reads, vaf, matched_expr_count, log2_matched_expr, qual
Use the matched expression mapping from the instructions.
Sort by:
condition ascending,
tissue ascending,
gene_symbol ascending,
variant_id ascending,
call_id ascending.
Round vaf and log2_matched_expr to 3 decimals.",presentation_table,0,0.0,0,0,0.471007326007326,0.13681318681318683,37,2,0,0,0,row_count_mismatch
pass4.query9,Q9,Pathway reliability summary,"Using pandas and complete-chain matched rows only, build a pathway reliability summary.
For each pathway, compute:
- call_count
- non_reference_rate where genotype <> '0/0'
- mean_vaf
- mean_matched_expr
Return: pathway, call_count, non_reference_rate, mean_vaf, mean_matched_expr
Sort by non_reference_rate descending, then pathway ascending.
Round decimals to 3 places.",decision_support,0,0.0,0,0,0.47147435897435896,0.03076923076923077,20,19,0,0,0,row_count_mismatch
pass4.query10,Q10,Repairability audit,"Using pandas, create a repairability audit over all fact rows.
Left join fact_calls across the full snowflake and classify join_status using:
- COMPLETE_CHAIN
- MISSING_SAMPLE
- MISSING_GENE
- MISSING_VARIANT
Set repairable_by_human = True only for MISSING_SAMPLE and MISSING_GENE.
Return: call_id, sample_id, variant_id, join_status, repairable_by_human
Sort by call_id ascending.",repairability_review,3,0.07692307692307693,1,1,0.9886039886039886,0.8393162393162393,2,34,0,0,0,same_count_wrong_values
