attempt_exact_match_rate_mean,attempt_score_cv_mean,attempt_score_stddev_mean,cases,model,prompt_sensitive_failure_rate,stable_failure_rate,stable_success_rate
0.02,0.18589919293165852,0.0607282758472754,50,codellama-70b-sqlbench:latest,0.0,0.98,0.02
0.006666666666666666,0.046660873281554424,0.021327094537585342,50,command-r-plus-sqlbench:latest,0.02,0.98,0.0
0.006666666666666666,0.07951488204372502,0.02304279716618862,50,dbrx-sqlbench:latest,0.02,0.98,0.0
0.0,0.041342114176347595,0.01661064913815891,50,deepseek-coder-33b-sqlbench:latest,0.0,1.0,0.0
0.12,0.017453756511674315,0.010687077203847537,50,gemma4-26b-sqlbench:latest,0.0,0.88,0.12
0.24666666666666667,0.002782164550301927,0.0025157287926214707,50,gemma4-31b-sqlbench:latest,0.04,0.74,0.22
0.02,0.02463326958190967,0.01568815198545249,50,llama3-70b-sqlbench:latest,0.0,0.98,0.02
0.04666666666666666,0.049804427154564325,0.025536656326279886,50,mixtral-8x22b-sqlbench:latest,0.04,0.94,0.02
0.0,0.07725945371420509,0.03691474661038088,50,phi4-mini-sqlbench:latest,0.0,1.0,0.0
0.07333333333333333,0.015395392520613027,0.0093203408110684,50,qwen2.5-72b-sqlbench:latest,0.04,0.9,0.06
0.06,0.06766860126451077,0.012228233269319363,50,qwen2.5-coder-32b-sqlbench:latest,0.0,0.94,0.06
0.0,0.011381074820181804,0.0058023162159079,50,qwen3-coder-30b-sqlbench:latest,0.0,1.0,0.0
0.08,0.0,0.0,50,qwen3.6-sqlbench:latest,0.0,0.92,0.08
