case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
pass3.query1,Q1,Join-status classification,q1_call6_status_wrong,Misclassified call_id 6 / V5; it should be MISSING_GENE.,22,0.5641025641025641,"Command R+, DBRX, DeepSeek Coder 33B, Phi-4 Mini"
pass3.query1,Q1,Join-status classification,q1_call9_status_wrong,Misclassified call_id 9 / V999; it should be MISSING_VARIANT.,18,0.46153846153846156,"CodeLlama 70B, Command R+, DBRX, Phi-4 Mini"
pass3.query1,Q1,Join-status classification,q1_complete_chain_status_wrong,Misclassified one or more complete-chain calls.,15,0.38461538461538464,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query2,Q2,Tissue-gene VAF aggregate,q2_wrong_group_set,Returned the wrong tissue-gene group set for complete-chain matched rows.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query2,Q2,Tissue-gene VAF aggregate,q2_wrong_counts_or_alt,Miscomputed call_count or sum_alt_reads.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query2,Q2,Tissue-gene VAF aggregate,q2_wrong_vaf,Computed avg_vaf from the wrong numerator/denominator or row set.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query3,Q3,Gene coverage audit,q3_wrong_total_alt,Miscomputed total_alt_reads for one or more genes.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query3,Q3,Gene coverage audit,q3_wrong_observed_count,Miscomputed observed_call_count for one or more genes.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query3,Q3,Gene coverage audit,q3_missing_zero_call_gene,Dropped zero-call genes NDHT or PGR1B from the gene-preserving audit.,7,0.1794871794871795,"CodeLlama 70B, Command R+, Mixtral 8x22B"
pass3.query4,Q4,High-impact condition summary,q4_wrong_group_set,Returned the wrong set of high-impact condition rows.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query4,Q4,High-impact condition summary,q4_control_bucket_wrong,Miscomputed the control high-impact bucket.,34,0.8717948717948718,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass3.query4,Q4,High-impact condition summary,q4_high_light_bucket_wrong,Miscomputed the high_light high-impact bucket.,33,0.8461538461538461,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
