case_id,query,short_name,prompt,primary_failure_family,exact_attempts,exact_attempt_rate,exact_models_any,exact_models_stable,mean_score,mean_aligned_cell_accuracy,row_count_mismatch_attempts,same_count_wrong_attempts,order_only_attempts,type_only_attempts,column_error_attempts,dominant_failure_mode
pass3.query1,Q1,Join-status classification,"Left join fact_calls across the full snowflake and classify each fact row into one join_status using this logic:
- COMPLETE_CHAIN: sample, variant, and gene all matched
- MISSING_SAMPLE: sample missing but variant and gene matched
- MISSING_GENE: variant matched but gene missing
- MISSING_VARIANT: variant missing
Return: call_id, sample_id, variant_id, join_status
Sort by call_id ascending.",join_key_integrity,10,0.2564102564102564,4,3,1.0,0.9237891737891738,0,29,0,0,0,same_count_wrong_values
pass3.query2,Q2,Tissue-gene VAF aggregate,"Using only complete-chain matched rows, group by tissue and gene_symbol.
Compute:
- call_count
- sum_alt_reads
- avg_vaf where VAF = alt_reads / total_reads
- max_qual
Return: tissue, gene_symbol, call_count, sum_alt_reads, avg_vaf, max_qual
Sort by tissue ascending, then gene_symbol ascending.
Round avg_vaf to 3 decimals.",aggregation_numeric,0,0.0,0,0,0.47569139194139193,0.4103174603174603,27,12,0,0,0,row_count_mismatch
pass3.query3,Q3,Gene coverage audit,"Start from gene_dim and left join to variant_dim, then fact_calls.
Return one row per gene with:
gene_symbol, pathway, observed_call_count, total_alt_reads
Count matched fact rows per gene.
Include genes with zero observed calls.
Sort by observed_call_count descending, then gene_symbol ascending.
Round total_alt_reads to 3 decimals if needed.",orphan_key_audit,0,0.0,0,0,0.7486324786324786,0.5769230769230769,12,27,0,0,0,same_count_wrong_values
pass3.query4,Q4,High-impact condition summary,"Inner join fact_calls to sample_dim and variant_dim.
Filter to impact = 'high'.
For each condition, compute:
- high_impact_call_count
- avg_qual
- avg_alt_reads
Return: condition, high_impact_call_count, avg_qual, avg_alt_reads
Sort by condition ascending.
Round decimal outputs to 3 decimals.",aggregation_numeric,0,0.0,0,0,0.4487179487179487,0.2158119658119658,33,6,0,0,3,row_count_mismatch
pass3.query5,Q5,Sample genotype classes,"Using sample_dim as the preserving table, count genotype classes per sample.
Compute:
- heterozygous_calls where genotype = '0/1'
- homozygous_alt_calls where genotype = '1/1'
- mean_nonref_qual over only non-reference calls where genotype in ('0/1','1/1')
Return: sample_id, heterozygous_calls, homozygous_alt_calls, mean_nonref_qual
Include samples with zero calls.
Sort by sample_id ascending.
Round mean_nonref_qual to 3 decimals.",outer_join_coverage,3,0.07692307692307693,1,1,0.8744444444444445,0.7738705738705739,10,26,0,0,0,same_count_wrong_values
pass3.query6,Q6,Tissue-gene dense ranking,"Using only complete-chain matched rows, compute total_alt_reads and avg_vaf by tissue and gene_symbol.
Within each tissue, rank genes by total_alt_reads descending using dense rank.
Return: tissue, gene_symbol, total_alt_reads, avg_vaf, rank_in_tissue
Sort by tissue ascending, then rank_in_tissue ascending, then gene_symbol ascending.
Round avg_vaf to 3 decimals.",ranking_and_priority,0,0.0,0,0,0.52379355687048,0.43034188034188037,24,15,0,0,0,row_count_mismatch
pass3.query7,Q7,Unused dimension anti-join,"Find unused dimension rows across both branches using anti-join logic.
Return: object_type, object_id, reason
Use these rules:
- sample_dim rows with no fact_calls => no_fact_calls
- variant_dim rows with no fact_calls => no_fact_calls
- gene_dim rows with variants but no fact_calls through those variants => no_fact_calls_through_variants
- gene_dim rows with no variants at all => no_variants_attached
Sort by object_type ascending, then object_id ascending.",orphan_key_audit,3,0.07692307692307693,1,1,0.07692307692307693,0.3367521367521368,13,23,0,0,0,same_count_wrong_values
pass3.query8,Q8,Gene-role decision summary,"Using complete-chain matched rows only, filter to non-reference calls where genotype <> '0/0'.
Group by condition and gene_role.
Return: condition, gene_role, non_reference_call_count, mean_vaf
Sort by condition ascending, then gene_role ascending.
Round mean_vaf to 3 decimals.",decision_support,0,0.0,0,0,0.308040293040293,0.28685388685388685,38,1,0,0,0,row_count_mismatch
pass3.query9,Q9,Failure-family audit,"Failure-family audit for operational review.
Left join fact_calls across the full snowflake.
Create condition_group = condition when sample matched, else 'UNMATCHED_SAMPLE'.
For each condition_group, compute:
- complete_chain_calls
- missing_sample_calls
- missing_variant_calls
- missing_gene_calls
Return: condition_group, complete_chain_calls, missing_sample_calls, missing_variant_calls, missing_gene_calls
Sort by condition_group ascending.",failure_family_audit,0,0.0,0,0,0.7921016483516483,0.5291208791208791,1,38,0,0,0,same_count_wrong_values
pass3.query10,Q10,Decision-priority candidate table,"Decision-priority candidate table.
Using complete-chain matched rows only, filter to non-reference calls where genotype <> '0/0'.
Map matched expression counts using:
- NDHB -> expr_ndhb
- NDHK -> expr_ndhk
- PGR5 -> expr_pgr5
For each gene_symbol, compute:
- non_reference_calls
- avg_vaf
- avg_matched_expr
- decision_score = avg_vaf * avg_matched_expr
Return: gene_symbol, non_reference_calls, avg_vaf, avg_matched_expr, decision_score
Sort by decision_score descending, then gene_symbol ascending.
Round decimals to 3 places.",decision_support,0,0.0,0,0,0.6703846153846154,0.3577777777777778,14,25,0,0,0,same_count_wrong_values
