model,case_id,exact_match,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-26b-256:latest,pass1.query1,False,row_count_mismatch,0.875,False,7,8,1,0
gemma4-26b-256:latest,pass1.query2,False,order_only,0.4,True,8,8,0,0
gemma4-26b-256:latest,pass1.query3,True,exact,1.0,True,9,9,0,0
gemma4-26b-256:latest,pass1.query4,True,exact,1.0,True,5,5,0,0
gemma4-26b-256:latest,pass1.query5,False,row_count_mismatch,0.625,False,8,7,2,3
gemma4-26b-256:latest,pass1.query6,False,row_count_mismatch,0.4166666666666667,False,3,4,3,2
gemma4-26b-256:latest,pass1.query7,False,row_count_mismatch,0.0,False,3,2,2,3
gemma4-26b-256:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,2,2
gemma4-26b-64:latest,pass1.query1,False,row_count_mismatch,0.85,False,7,8,2,1
gemma4-26b-64:latest,pass1.query2,False,order_only,0.4,True,8,8,0,0
gemma4-26b-64:latest,pass1.query3,True,exact,1.0,True,9,9,0,0
gemma4-26b-64:latest,pass1.query4,True,exact,1.0,True,5,5,0,0
gemma4-26b-64:latest,pass1.query5,False,row_count_mismatch,0.5833333333333334,False,9,7,0,2
gemma4-26b-64:latest,pass1.query6,False,row_count_mismatch,0.4166666666666667,False,3,4,3,2
gemma4-26b-64:latest,pass1.query7,False,row_count_mismatch,0.0,False,3,2,2,3
gemma4-26b-64:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,2,2
gemma4-31b-256:latest,pass1.query1,True,exact,1.0,True,8,8,0,0
gemma4-31b-256:latest,pass1.query2,False,row_count_mismatch,0.7111111111111111,False,9,8,0,1
gemma4-31b-256:latest,pass1.query3,True,exact,1.0,True,9,9,0,0
gemma4-31b-256:latest,pass1.query4,True,exact,1.0,True,5,5,0,0
gemma4-31b-256:latest,pass1.query5,False,row_count_mismatch,0.65625,False,8,7,0,1
gemma4-31b-256:latest,pass1.query6,False,same_count_wrong_values,0.8333333333333334,True,4,4,1,1
gemma4-31b-256:latest,pass1.query7,False,same_count_wrong_values,0.0,True,2,2,2,2
gemma4-31b-256:latest,pass1.query8,False,same_count_wrong_values,0.5555555555555556,True,3,3,2,2
gemma4-31b-64:latest,pass1.query1,True,exact,1.0,True,8,8,0,0
gemma4-31b-64:latest,pass1.query2,False,row_count_mismatch,0.7111111111111111,False,9,8,0,1
