model,display_model,attempts,exact_attempts,exact_attempt_rate,exact_query_coverage_any,stable_exact_queries,partial_exact_queries,stable_fail_queries,mean_score,mean_aligned_cell_accuracy,mean_row_set_correctness,mean_numeric_correctness,mean_sort_correctness,row_count_mismatch_rate,mean_wall_s,mean_gen_tps,exact,order_only,type_only,same_count_wrong_values,row_count_mismatch,column_error,dominant_failure_mode
gemma4-31b-sqlbench:latest,Gemma 4 31B,30,0,0.0,0,0,0,10,0.7158694444444444,0.37317460317460316,0.9216666666666666,0.34975,0.7505555555555555,0.3,96.11988442626995,2.8115682823591905,0,0,0,21,9,0,same_count_wrong_values
gemma4-26b-sqlbench:latest,Gemma 4 26B,30,0,0.0,0,0,0,10,0.6278980158730159,0.34889682539682537,0.8426190476190476,0.2861944444444445,0.6036507936507937,0.3333333333333333,19.67782555143252,11.42714894556718,0,0,0,20,10,0,same_count_wrong_values
qwen3-coder-30b-sqlbench:latest,Qwen3 Coder 30B,30,0,0.0,0,0,0,10,0.6214694444444444,0.27964550264550264,0.8516666666666667,0.24508333333333332,0.6105555555555555,0.4,20.574491640366613,10.511699254681876,0,0,0,18,12,0,same_count_wrong_values
qwen2.5-72b-sqlbench:latest,Qwen 2.5 72B,30,0,0.0,0,0,0,10,0.5893194444444444,0.2790687830687831,0.8133333333333334,0.22402777777777777,0.5772222222222222,0.5,138.94737543023268,1.653381329896269,0,0,0,15,15,0,same_count_wrong_values
qwen3.6-sqlbench:latest,Qwen3.6,30,0,0.0,0,0,0,10,0.572875,0.283505291005291,0.7694444444444445,0.23458333333333334,0.5888888888888889,0.4,54.80145750946055,6.4539488672434295,0,0,0,18,12,0,same_count_wrong_values
llama3-70b-sqlbench:latest,Llama 3 70B,30,0,0.0,0,0,0,10,0.5505111111111111,0.25499867724867725,0.7716666666666666,0.16633333333333333,0.5738888888888889,0.5333333333333333,84.79807606942971,1.8988328116392146,0,0,0,14,16,0,row_count_mismatch
mixtral-8x22b-sqlbench:latest,Mixtral 8x22B,30,0,0.0,0,0,0,10,0.5238472222222222,0.22501763668430336,0.7162962962962963,0.19208333333333333,0.5403703703703704,0.7333333333333333,93.89401140199722,2.4605607789265465,0,0,0,8,22,0,row_count_mismatch
deepseek-coder-33b-sqlbench:latest,DeepSeek Coder 33B,30,0,0.0,0,0,0,10,0.52085,0.20387962962962963,0.7394444444444445,0.16616666666666666,0.5063888888888889,0.7,98.85665376393202,2.855103808828286,0,0,0,9,21,0,row_count_mismatch
command-r-plus-sqlbench:latest,Command R+,30,0,0.0,0,0,0,10,0.5168680911680912,0.28025193325193326,0.7248290598290599,0.12511111111111112,0.5846011396011396,0.36666666666666664,269.2094936211399,0.8683466394092048,0,0,0,19,11,0,same_count_wrong_values
dbrx-sqlbench:latest,DBRX,30,0,0.0,0,0,0,10,0.49412222222222224,0.19201058201058202,0.7163888888888889,0.16716666666666666,0.4288888888888889,0.7333333333333333,103.68565274386687,1.9939135527784284,0,0,0,8,22,0,row_count_mismatch
codellama-70b-sqlbench:latest,CodeLlama 70B,30,0,0.0,0,0,0,10,0.49322314814814816,0.2716596119929453,0.6811111111111111,0.12691666666666668,0.572962962962963,0.5333333333333333,96.46539660173197,2.009156533714671,0,0,0,14,16,0,row_count_mismatch
phi4-mini-sqlbench:latest,Phi-4 Mini,30,0,0.0,0,0,0,10,0.4643231481481481,0.19791358024691358,0.6955555555555556,0.08502777777777779,0.4551851851851852,0.6333333333333333,5.250458168836,85.3033166014711,0,0,0,11,19,0,row_count_mismatch
qwen2.5-coder-32b-sqlbench:latest,Qwen 2.5 Coder 32B,30,0,0.0,0,0,0,10,0.43204166666666666,0.24253439153439152,0.595,0.11958333333333333,0.49333333333333335,0.7333333333333333,58.818716893791375,3.1328954530510336,0,0,0,8,22,0,row_count_mismatch
