pass,case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
4,pass4.query1,Q1,Reconciliation metrics,q1_unused_dimension_wrong,"Miscounted unused samples, unused variants, or genes with no variants.",37,0.9487179487179487,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query1,Q1,Reconciliation metrics,q1_complete_chain_wrong,Miscounted complete_chain_rows in the reconciliation summary.,31,0.7948717948717948,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query1,Q1,Reconciliation metrics,q1_missing_status_wrong,Miscounted one or more missing sample/variant/gene fact-row categories.,30,0.7692307692307693,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query2,Q2,Condition-pathway aggregate,q2_wrong_counts_or_alt,Miscomputed call_count or total_alt_reads.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query2,Q2,Condition-pathway aggregate,q2_wrong_quality,Miscomputed mean_qual.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query2,Q2,Condition-pathway aggregate,q2_wrong_expression,Mapped or averaged expr_ndhb incorrectly.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query3,Q3,Batch-role non-reference summary,q3_wrong_group_set,Returned the wrong batch-gene_role group set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query3,Q3,Batch-role non-reference summary,q3_leaked_extra_group,"Leaked reference, incomplete-chain, or non-gold batch/role groups.",39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query3,Q3,Batch-role non-reference summary,q3_wrong_counts_or_quality,Miscomputed non_reference_calls or avg_qual.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query4,Q4,Control/non-control shared genes,q4_wrong_gene_set,Returned the wrong shared gene set.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query4,Q4,Control/non-control shared genes,q4_leaked_non_shared_gene,Included genes that are not observed in both control and non-control complete-chain rows.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query4,Q4,Control/non-control shared genes,q4_wrong_total_alt,Miscomputed total_alt_reads.,31,0.7948717948717948,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
4,pass4.query5,Q5,Gene-preserving profile,q5_wrong_variant_or_call_count,Miscomputed variant_count or call_count.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query5,Q5,Gene-preserving profile,q5_wrong_sample_or_tissue_count,Miscomputed distinct matched sample or tissue counts.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query5,Q5,Gene-preserving profile,q5_wrong_expression,Mapped or averaged matched expression incorrectly.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query6,Q6,Sample burden table,q6_wrong_log2_expr,Miscomputed mean_log2_marker_expr.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
4,pass4.query6,Q6,Sample burden table,q6_wrong_burden,Miscomputed burden_genes.,36,0.9230769230769231,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
