case_id,query,short_name,issue_code,issue_label,attempts_with_issue,attempt_pct,example_models
pass1.query1,Q1,Sample inner join,q1_included_orphan_s999,Included orphan sample row S999/call_id 8 that should disappear under the inner join.,25,0.6410256410256411,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
pass1.query1,Q1,Sample inner join,q1_dropped_call9,Dropped call_id 9 even though sample S2 exists and should survive the sample join.,14,0.358974358974359,"CodeLlama 70B, Gemma 4 26B, Mixtral 8x22B, Qwen 2.5 72B"
pass1.query1,Q1,Sample inner join,q1_attribute_leakage,Leaked tissue or condition values across rows instead of preserving sample attributes.,8,0.20512820512820512,"CodeLlama 70B, Command R+, DeepSeek Coder 33B, Phi-4 Mini"
pass1.query2,Q2,Variant join + qual sort,q2_included_v999,Included call_id 9 / V999 despite the required inner join to `variant_dim`.,27,0.6923076923076923,"Command R+, DBRX, DeepSeek Coder 33B, Llama 3 70B"
pass1.query2,Q2,Variant join + qual sort,q2_wrong_sort,"Returned the matched row set but not in `qual DESC, call_id ASC` order.",20,0.5128205128205128,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass1.query2,Q2,Variant join + qual sort,q2_dropped_matched_calls,Dropped valid matched calls from the joined result.,19,0.48717948717948717,"CodeLlama 70B, DeepSeek Coder 33B, Mixtral 8x22B, Phi-4 Mini"
pass1.query3,Q3,Sample left join,q3_bad_unmatched_row,Did not preserve the unmatched `S999` row cleanly in the left join output.,18,0.46153846153846156,"CodeLlama 70B, Command R+, DBRX, Llama 3 70B"
pass1.query3,Q3,Sample left join,q3_attribute_mixup,Mixed condition values into tissue/batch fields or used the wrong expression values.,9,0.23076923076923078,"DBRX, DeepSeek Coder 33B, Llama 3 70B, Phi-4 Mini"
pass1.query3,Q3,Sample left join,q3_type_only,Matched the table semantically but serialized numbers/nulls with the wrong types.,3,0.07692307692307693,Qwen3 Coder 30B
pass1.query4,Q4,Outer join aggregate,q4_s2_avg_wrong,"Computed the `S2` average incorrectly, often from the wrong row set or over-rounded output.",29,0.7435897435897436,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query4,Q4,Outer join aggregate,q4_s2_undercounted,"Undercounted `S2` by missing one fact row, usually call_id 9.",10,0.2564102564102564,"DBRX, Mixtral 8x22B, Phi-4 Mini, Qwen 2.5 Coder 32B"
pass1.query5,Q5,Variant to gene chain,q5_kept_call9,Kept unmatched call_id 9 / V999 even though the chain join should remove it.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query5,Q5,Variant to gene chain,q5_kept_call6,Kept call_id 6 / V5 after the second inner join instead of dropping the incomplete chain.,31,0.7948717948717948,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass1.query5,Q5,Variant to gene chain,q5_dropped_matched_rows,Dropped valid matched rows while traversing the fact -> variant -> gene chain.,14,0.358974358974359,"CodeLlama 70B, Command R+, DBRX, Phi-4 Mini"
pass1.query6,Q6,Impact aggregate,q6_avg_wrong,Used the wrong row set for average quality per impact bucket.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query6,Q6,Impact aggregate,q6_high_undercount,Under-counted high-impact calls by not aggregating both V2 and V3 duplicates.,32,0.8205128205128205,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass1.query6,Q6,Impact aggregate,q6_moderate_undercount,Under-counted the two moderate V1 calls.,18,0.46153846153846156,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass1.query7,Q7,Tissue qual aggregate,q7_misweighted_avg,Computed tissue averages from the wrong grain instead of fact-call-weighted quality values.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query7,Q7,Tissue qual aggregate,q7_wrong_extrema,Minimum or maximum quality per tissue came from the wrong row set.,36,0.9230769230769231,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query7,Q7,Tissue qual aggregate,q7_included_root,Included `root` / `S5` even though the task required an inner join to fact rows only.,20,0.5128205128205128,"Command R+, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass1.query8,Q8,Condition expression aggregate,q8_sample_counts,Used sample counts instead of fact-call counts for one or more conditions.,39,1.0,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query8,Q8,Condition expression aggregate,q8_expr_misweighted,Averaged expression at the wrong grain instead of call-weighting by joined fact rows.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query8,Q8,Condition expression aggregate,q8_high_light_leak,"Leaked `S5` / `high_light` into the aggregate, inflating the high-light bucket.",23,0.5897435897435898,"CodeLlama 70B, DBRX, Gemma 4 26B, Gemma 4 31B"
pass1.query9,Q9,Condition decision screen,q9_high_impact_miss,Missed the high-impact filter/count after joining to `variant_dim`.,38,0.9743589743589743,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query9,Q9,Condition decision screen,q9_wrong_total_calls,"Used the wrong total-call counts, usually from sample-level counting or leaked rows.",35,0.8974358974358975,"CodeLlama 70B, Command R+, DBRX, DeepSeek Coder 33B"
pass1.query9,Q9,Condition decision screen,q9_high_light_leak,Inflated the high-light bucket by leaking unmatched or extra rows.,26,0.6666666666666666,"CodeLlama 70B, DBRX, DeepSeek Coder 33B, Gemma 4 26B"
pass1.query10,Q10,Variant anomaly audit,q10_false_missing_variant,Marked matched variants as `MISSING_VARIANT` instead of `MATCHED`.,9,0.23076923076923078,"CodeLlama 70B, DBRX, Phi-4 Mini"
pass1.query10,Q10,Variant anomaly audit,q10_type_only,Matched the audit semantically but serialized identifiers with the wrong types.,6,0.15384615384615385,"DeepSeek Coder 33B, Qwen3 Coder 30B"
pass1.query10,Q10,Variant anomaly audit,q10_nullified_v999,Nullified `variant_id` for call_id 9 instead of preserving `V999` from the fact table.,5,0.1282051282051282,"Mixtral 8x22B, Phi-4 Mini"
