accuracy,cases,client_wall_s_total,difficulty,exact_match_rate,exact_matches,language,max_score,mean_gen_tps,mean_gpu_util_pct_avg,mean_ollama_cpu_avg,mean_prompt_tps,mean_ps_loaded_gib,mean_ps_vram_gib,mean_system_cpu_avg,model,pass,score,server_eval_tokens_total,server_prompt_tokens_total,server_total_s_total,valid_json_cases,valid_json_rate
0.25,8,89.64567139300561,easy,0.25,2,sql,8.0,15.355279680123974,0.0,0.0,561.6814529752029,22.91333743929863,10.876351833343506,61.06237058080808,gemma4-26b-256:latest,1,2.0,905,8703,89.524249972,8,1.0
0.25,8,87.94139986699884,medium,0.25,2,sql,8.0,14.848400574432937,0.0,0.0,605.2152410496502,22.91333743929863,10.876351833343506,66.46747825091575,gemma4-26b-256:latest,2,2.0,1022,8868,87.818435181,8,1.0
0.125,8,97.94561437099401,hard,0.125,1,sql,8.0,14.16035995034676,0.0,0.0,613.0428565816851,22.91333743929863,10.876351833343506,65.49694715007216,gemma4-26b-256:latest,3,1.0,1129,9126,97.799185166,8,1.0
0.0,8,147.4894620179948,extra_hard,0.0,0,python,8.0,15.039639913130534,0.0,0.0,617.044231927194,22.91333743929863,10.876351833343506,64.69372986770205,gemma4-26b-256:latest,4,0.0,1783,9810,147.370512883,8,1.0
0.0,8,121.69407835201127,extreme_hard,0.0,0,python,8.0,14.782686791256019,0.0,0.0,677.8158124267517,22.91333743929863,10.876351833343506,66.57249559742158,gemma4-26b-256:latest,5,0.0,1507,10136,121.55984044,8,1.0
0.25,8,81.23847269398539,easy,0.25,2,sql,8.0,15.159565368823705,0.0,0.0,692.7828859023631,19.253195583820343,10.489646196365356,62.05371938003517,gemma4-26b-64:latest,1,2.0,879,8703,81.114407542,8,1.0
0.25,8,78.73857469501672,medium,0.25,2,sql,8.0,16.411215899994342,0.0,0.0,734.0389824537253,19.253195583820343,10.489646196365356,61.95319128787879,gemma4-26b-64:latest,2,2.0,1007,8868,78.616234294,8,1.0
0.125,8,82.0748758459813,hard,0.125,1,sql,8.0,15.687747843298636,0.0,0.0,734.7335014893806,19.253195583820343,10.489646196365356,64.99358058608058,gemma4-26b-64:latest,3,1.0,1033,9126,81.941402118,8,1.0
0.0,8,94.5293631669847,extra_hard,0.0,0,python,8.0,16.185018172970114,0.0,0.0,769.8167004699633,19.253195583820343,10.489646196365356,64.42114038739038,gemma4-26b-64:latest,4,0.0,1209,9810,94.405214822,8,1.0
0.0,8,110.55679501499253,extreme_hard,0.0,0,python,8.0,15.264797488431917,0.0,0.0,800.6440141630997,19.253195583820343,10.489646196365356,66.46599440763914,gemma4-26b-64:latest,5,0.0,1409,10136,110.42008239100001,8,1.0
0.375,8,428.48570415798895,easy,0.375,3,sql,8.0,3.0893715019840546,0.0,0.0,230.947981328823,36.24829858541489,10.035063982009888,73.93389849605839,gemma4-31b-256:latest,1,3.0,1090,8703,428.14792313500004,8,1.0
0.5,8,371.44876272100373,medium,0.5,4,sql,8.0,3.246456861943912,0.0,0.0,255.57608278574529,36.24829858541489,10.035063982009888,74.33934095175955,gemma4-31b-256:latest,2,4.0,1073,8868,371.27175964,8,1.0
0.25,8,333.81190722801693,hard,0.25,2,sql,8.0,3.182355042657416,0.0,0.0,255.90312749556327,36.24829858541489,10.035063982009888,74.60553314490816,gemma4-31b-256:latest,3,2.0,935,9126,333.589633317,8,1.0
0.0,8,739.5496888589987,extra_hard,0.0,0,python,8.0,3.1177409293362497,0.0,0.0,258.4195058132263,36.24829858541489,10.035063982009888,78.52032313342588,gemma4-31b-256:latest,4,0.0,2167,9810,739.360245777,8,1.0
0.0,8,682.8843428819891,extreme_hard,0.0,0,python,8.0,3.157972551207684,0.0,0.0,269.5200057343178,36.24829858541489,10.035063982009888,79.04586906221238,gemma4-31b-256:latest,5,0.0,2021,10136,682.707909173,8,1.0
0.375,8,370.3913305629976,easy,0.375,3,sql,8.0,3.4835200249645304,0.0,0.0,278.7201890837124,25.420200675725937,10.838292241096497,67.43528879806256,gemma4-31b-64:latest,1,3.0,1092,8703,370.184303972,8,1.0
0.5,8,343.9920999299866,medium,0.5,4,sql,8.0,3.668124847262213,0.0,0.0,299.79023197110695,25.420200675725937,10.838292241096497,67.67339557840909,gemma4-31b-64:latest,2,4.0,1120,8868,343.77467686,8,1.0
0.25,8,313.52336365701194,hard,0.25,2,sql,8.0,3.632828741243261,0.0,0.0,300.72578999649016,25.420200675725937,10.838292241096497,67.84049662595858,gemma4-31b-64:latest,3,2.0,1005,9126,313.348765482,8,1.0
0.0,8,647.7425062229959,extra_hard,0.0,0,python,8.0,3.557289988549655,0.0,0.0,307.6907118582899,25.420200675725937,10.838292241096497,70.35821227007668,gemma4-31b-64:latest,4,0.0,2165,9810,647.4997986770001,8,1.0
0.0,8,642.1173390789991,extreme_hard,0.0,0,python,8.0,3.4098921672487528,0.0,0.0,317.1160930229044,25.420200675725937,10.838292241096497,72.57447803300045,gemma4-31b-64:latest,5,0.0,2062,10136,641.865251103,8,1.0
0.0,8,85.70264828099607,easy,0.0,0,sql,8.0,19.285570791428405,0.0,0.0,1850.2263014308053,14.313054084777832,10.456779479980469,46.74860576923077,phi4-mini-128:latest,1,0.0,967,7061,85.6196064,8,1.0
0.0,8,90.53302794200135,medium,0.0,0,sql,8.0,19.24998653420494,0.0,0.0,1810.6504706328724,14.313054084777832,10.456779479980469,47.452013888888885,phi4-mini-128:latest,2,0.0,1124,7183,90.443707624,8,1.0
0.0,8,63.5640375979965,hard,0.0,0,sql,8.0,20.212894275591324,0.0,0.0,1919.536973838404,14.313054084777832,10.456779479980469,48.030064935064935,phi4-mini-128:latest,3,0.0,803,7417,63.480212451,8,1.0
0.0,8,80.75448086399774,extra_hard,0.0,0,python,8.0,19.78470444298304,0.0,0.0,2035.2623902155335,14.313054084777832,10.456779479980469,46.33283301767677,phi4-mini-128:latest,4,0.0,1022,7999,80.667918231,8,1.0
0.0,8,57.317933923000965,extreme_hard,0.0,0,python,8.0,19.723627433864188,0.0,0.0,2032.886991930383,14.313054084777832,10.456779479980469,48.96683035714286,phi4-mini-128:latest,5,0.0,722,8264,57.231972467,8,1.0
0.0,8,139.2935568430039,easy,0.0,0,sql,8.0,13.041810186063827,0.0,0.0,383.6230892368334,31.638535022735596,10.34601640701294,63.54329772249809,qwen3-coder-30b-256:latest,1,0.0,1112,7679,139.04904612800001,8,1.0
0.0,8,98.47858089500369,medium,0.0,0,sql,8.0,14.487007240588529,0.0,0.0,410.6974070918216,31.638535022735596,10.34601640701294,64.83435222763347,qwen3-coder-30b-256:latest,2,0.0,1078,7805,98.271924809,8,1.0
0.0,8,98.29186640000262,hard,0.0,0,sql,8.0,13.432058475753982,0.0,0.0,414.71401633875973,31.638535022735596,10.34601640701294,64.87684694691274,qwen3-coder-30b-256:latest,3,0.0,1006,8037,98.12028988,8,1.0
0.0,8,149.51132062201214,extra_hard,0.0,0,python,8.0,13.19144369564029,0.0,0.0,435.85008793915745,31.638535022735596,10.34601640701294,67.04712036329684,qwen3-coder-30b-256:latest,4,0.0,1619,8603,149.326952979,8,1.0
0.0,8,164.35213553198264,extreme_hard,0.0,0,python,8.0,12.66451479451499,0.0,0.0,438.0199114335195,31.638535022735596,10.34601640701294,68.07868683774015,qwen3-coder-30b-256:latest,5,0.0,1758,8863,164.17443471,8,1.0
0.125,8,93.67137353800354,easy,0.125,1,sql,8.0,17.344954600801607,0.0,0.0,492.1925401001814,21.09313702583313,10.656760454177856,61.50208333333333,qwen3-coder-30b-64:latest,1,1.0,1094,7679,93.546822446,8,1.0
0.0,8,82.86165020499175,medium,0.0,0,sql,8.0,17.179622827362298,0.0,0.0,516.0715321900943,21.09313702583313,10.656760454177856,64.00917892156863,qwen3-coder-30b-64:latest,2,0.0,1117,7805,82.721110756,8,1.0
0.0,8,76.52050520099874,hard,0.0,0,sql,8.0,16.573178180124543,0.0,0.0,510.71320429276267,21.09313702583313,10.656760454177856,62.95897644022644,qwen3-coder-30b-64:latest,3,0.0,954,8037,76.408654474,8,1.0
0.0,8,127.3166816560115,extra_hard,0.0,0,python,8.0,15.100671059851425,0.0,0.0,530.0509661664995,21.09313702583313,10.656760454177856,64.5608721139971,qwen3-coder-30b-64:latest,4,0.0,1605,8603,127.185574877,8,1.0
0.0,8,137.59604931500508,extreme_hard,0.0,0,python,8.0,15.221035095324613,0.0,0.0,548.2630031900645,21.09313702583313,10.656760454177856,66.99929321184996,qwen3-coder-30b-64:latest,5,0.0,1791,8863,137.421856527,8,1.0
0.125,8,204.63780677699833,easy,0.125,1,sql,8.0,9.44641918991847,0.0,0.0,264.0192504039569,31.244134336709976,10.940691947937012,62.10310143346398,qwen36-256:latest,1,1.0,1451,7945,204.502314138,8,1.0
0.25,8,233.61484262200975,medium,0.25,2,sql,8.0,8.904255560177152,0.0,0.0,263.93089184535364,31.244134336709976,10.940691947937012,65.05055431505124,qwen36-256:latest,2,2.0,1764,8075,233.440614531,8,1.0
0.0,8,200.7547750670019,hard,0.0,0,sql,8.0,9.11144491653826,0.0,0.0,247.08466164001874,31.244134336709976,10.940691947937012,63.83531089230817,qwen36-256:latest,3,0.0,1488,8313,200.59106913,8,1.0
0.0,8,281.16723057699346,extra_hard,0.0,0,python,8.0,9.31820338774755,0.0,0.0,232.11399489406264,31.244134336709976,10.940691947937012,62.75383498832608,qwen36-256:latest,4,0.0,2150,8884,281.050769516,8,1.0
0.0,8,297.8528726259974,extreme_hard,0.0,0,python,8.0,9.041653180250703,0.0,0.0,233.14087229259093,31.244134336709976,10.940691947937012,64.07730690509524,qwen36-256:latest,5,0.0,2274,9151,297.663605672,8,1.0
0.125,8,168.8099103520035,easy,0.125,1,sql,8.0,11.856833620882105,0.0,0.0,308.07554376873173,26.45080080628395,10.920520305633545,61.201948653198656,qwen36-64:latest,1,1.0,1494,7945,168.662854937,8,1.0
0.125,8,206.2178913889984,medium,0.125,1,sql,8.0,10.282917813113212,0.0,0.0,299.5254800472689,26.45080080628395,10.920520305633545,65.58204174714595,qwen36-64:latest,2,1.0,1815,8075,206.054407992,8,1.0
0.0,8,181.7966976950047,hard,0.0,0,sql,8.0,10.34149529707439,0.0,0.0,249.29702495172089,26.45080080628395,10.920520305633545,59.96749419646401,qwen36-64:latest,3,0.0,1406,8313,181.632903677,8,1.0
0.0,8,231.00938841999596,extra_hard,0.0,0,python,8.0,10.936143187083845,0.0,0.0,271.3324532511821,26.45080080628395,10.920520305633545,64.21120172107305,qwen36-64:latest,4,0.0,2063,8884,230.829587275,8,1.0
0.0,8,236.58726844999546,extreme_hard,0.0,0,python,8.0,11.046267136388648,0.0,0.0,270.4058829048068,26.45080080628395,10.920520305633545,64.7317666431121,qwen36-64:latest,5,0.0,2180,9151,236.416381019,8,1.0
