model,case_id,exact_match,score,failure_mode,aligned_cell_accuracy,row_count_match,pred_row_count,gold_row_count,missing_rows_count,extra_rows_count
gemma4-26b-256:latest,pass3.query1,True,1.0,exact,1.0,True,9,9,0,0
gemma4-26b-256:latest,pass3.query2,False,0.0,same_count_wrong_values,0.8333333333333334,True,4,4,2,2
gemma4-26b-256:latest,pass3.query3,False,0.0,same_count_wrong_values,0.75,True,5,5,4,4
gemma4-26b-256:latest,pass3.query4,False,0.0,row_count_mismatch,0.08333333333333333,False,3,2,1,2
gemma4-26b-256:latest,pass3.query5,False,0.0,same_count_wrong_values,0.9,True,5,5,1,1
gemma4-26b-256:latest,pass3.query6,False,0.0,row_count_mismatch,0.08571428571428572,False,7,4,4,7
gemma4-26b-256:latest,pass3.query7,False,0.0,same_count_wrong_values,0.5833333333333334,True,4,4,4,4
gemma4-26b-256:latest,pass3.query8,False,0.0,row_count_mismatch,0.21875,False,8,3,1,6
gemma4-26b-64:latest,pass3.query1,True,1.0,exact,1.0,True,9,9,0,0
gemma4-26b-64:latest,pass3.query2,False,0.0,same_count_wrong_values,0.8333333333333334,True,4,4,2,2
gemma4-26b-64:latest,pass3.query3,False,0.0,same_count_wrong_values,0.75,True,5,5,4,4
gemma4-26b-64:latest,pass3.query4,False,0.0,row_count_mismatch,0.08333333333333333,False,3,2,1,2
gemma4-26b-64:latest,pass3.query5,False,0.0,same_count_wrong_values,0.9,True,5,5,1,1
gemma4-26b-64:latest,pass3.query6,False,0.0,row_count_mismatch,0.08571428571428572,False,7,4,4,7
gemma4-26b-64:latest,pass3.query7,False,0.0,same_count_wrong_values,0.5833333333333334,True,4,4,4,4
gemma4-26b-64:latest,pass3.query8,False,0.0,row_count_mismatch,0.25,False,7,3,1,5
gemma4-31b-256:latest,pass3.query1,False,0.0,same_count_wrong_values,0.9722222222222222,True,9,9,1,1
gemma4-31b-256:latest,pass3.query2,False,0.0,same_count_wrong_values,0.9583333333333334,True,4,4,1,1
gemma4-31b-256:latest,pass3.query3,False,0.0,same_count_wrong_values,0.85,True,5,5,3,3
gemma4-31b-256:latest,pass3.query4,False,0.0,same_count_wrong_values,0.875,True,2,2,1,1
gemma4-31b-256:latest,pass3.query5,True,1.0,exact,1.0,True,5,5,0,0
